,Date,Country/Region,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered
69475,2021-01-14,Brazil,8333445,207293,7394739.0,731413.0,68329,1154,47659
69535,2021-01-14,Israel,529814,3870,447076.0,78868.0,9754,53,9286
69536,2021-01-14,Italy,2336279,80848,1694051.0,561380.0,17243,522,20115
69576,2021-01-14,New Zealand,2246,25,2145.0,76.0,18,0,4
69612,2021-01-14,South Africa,1296806,35852,1049740.0,211214.0,18503,712,18810
69632,2021-01-14,US,23462183,395104,0.0,23067079.0,238043,3792,0
69636,2021-01-14,United Kingdom,3269761,86163,7584.0,3176014.0,48804,1253,150
69654,2021-01-15,Australia,28689,909,22668.0,5112.0,20,0,11
69669,2021-01-15,Brazil,8402542,208428,7438075.0,756039.0,69097,1135,43336
69729,2021-01-15,Israel,535049,3910,453127.0,78012.0,5235,40,6051
69730,2021-01-15,Italy,2352423,81325,1713030.0,558068.0,16144,477,18979
69770,2021-01-15,New Zealand,2246,25,2145.0,76.0,0,0,0
69806,2021-01-15,South Africa,1311686,36467,1062690.0,212529.0,14880,615,12950
69826,2021-01-15,US,23709208,398916,0.0,23310292.0,247025,3812,0
69830,2021-01-15,United Kingdom,3325646,87448,7695.0,3230503.0,55885,1285,111
69848,2021-01-16,Australia,28708,909,22684.0,5115.0,19,0,16
69863,2021-01-16,Brazil,8460987,209442,7485823.0,765722.0,58445,1014,47748
69923,2021-01-16,Israel,543499,3959,455698.0,83842.0,8450,49,2571
69924,2021-01-16,Italy,2368733,81800,1729216.0,557717.0,16310,475,16186
69964,2021-01-16,New Zealand,2256,25,2149.0,82.0,10,0,4
70000,2021-01-16,South Africa,1325659,36851,1083978.0,204830.0,13973,384,21288
70020,2021-01-16,US,23917841,402493,0.0,23515348.0,208633,3577,0
70024,2021-01-16,United Kingdom,3367074,88747,7866.0,3270461.0,41428,1299,171
70042,2021-01-17,Australia,28721,909,22692.0,5120.0,13,0,8
70057,2021-01-17,Brazil,8492403,209993,7509009.0,773401.0,31416,551,23186
70117,2021-01-17,Israel,551689,4005,467017.0,80667.0,8190,46,11319
70118,2021-01-17,Italy,2381277,82177,1745726.0,553374.0,12544,377,16510
70158,2021-01-17,New Zealand,2262,25,2152.0,85.0,6,0,3
70194,2021-01-17,South Africa,1337926,37105,1098441.0,202380.0,12267,254,14463
70214,2021-01-17,US,24094432,404484,0.0,23689948.0,176591,1991,0
70218,2021-01-17,United Kingdom,3405744,89429,8046.0,3308269.0,38670,682,180
70236,2021-01-18,Australia,28731,909,22698.0,5124.0,10,0,6
70251,2021-01-18,Brazil,8521336,210469,7560460.0,750407.0,28933,476,51451
70311,2021-01-18,Israel,558249,4044,473310.0,80895.0,6560,39,6293
70312,2021-01-18,Italy,2390102,82554,1760489.0,547059.0,8825,377,14763
70352,2021-01-18,New Zealand,2262,25,2152.0,85.0,0,0,0
70388,2021-01-18,South Africa,1346936,37449,1117452.0,192035.0,9010,344,19011
70408,2021-01-18,US,24235515,406049,0.0,23829466.0,141083,1565,0
70412,2021-01-18,United Kingdom,3443354,90031,8250.0,3345073.0,37610,602,204
70430,2021-01-19,Australia,28740,909,22709.0,5122.0,9,0,11
70445,2021-01-19,Brazil,8583485,211629,7618080.0,753776.0,62149,1160,57620
70505,2021-01-19,Israel,565629,4080,478665.0,82884.0,7380,36,5355
70506,2021-01-19,Italy,2400598,83157,1781917.0,535524.0,10496,603,21428
70546,2021-01-19,New Zealand,2267,25,2166.0,76.0,5,0,14
70582,2021-01-19,South Africa,1356716,38288,1144857.0,173571.0,9780,839,27405
70602,2021-01-19,US,24399801,408450,0.0,23991351.0,164286,2401,0
70606,2021-01-19,United Kingdom,3476808,91643,8367.0,3376798.0,33454,1612,117
70624,2021-01-20,Australia,28749,909,22716.0,5124.0,9,0,7
70639,2021-01-20,Brazil,8647962,213024,7618080.0,816858.0,64477,1395,0
70699,2021-01-20,Israel,575842,4181,488158.0,83503.0,10213,101,9493
70700,2021-01-20,Italy,2414166,83681,1806932.0,523553.0,13568,524,25015
70740,2021-01-20,New Zealand,2267,25,2166.0,76.0,0,0,0
70776,2021-01-20,South Africa,1369426,38854,1160412.0,170160.0,12710,566,15555
70796,2021-01-20,US,24585195,412892,0.0,24172303.0,185394,4442,0
70800,2021-01-20,United Kingdom,3515800,93469,8496.0,3413835.0,38992,1826,129
70818,2021-01-21,Australia,28755,909,22725.0,5121.0,6,0,9
70833,2021-01-21,Brazil,8706912,214371,7673092.0,819449.0,58950,1347,55012
70893,2021-01-21,Israel,582869,4245,497347.0,81277.0,7027,64,9189
70894,2021-01-21,Italy,2428221,84202,1827451.0,516568.0,14055,521,20519
70934,2021-01-21,New Zealand,2276,25,2178.0,73.0,9,0,12
70970,2021-01-21,South Africa,1380807,39501,1183443.0,157863.0,11381,647,23031
70990,2021-01-21,US,24777522,417029,0.0,24360493.0,192327,4137,0
